prompt_id,section_h1,section_h2,section_h3,table_id,row_index,prompt_column_header,prompt_text,source_url
11,Story production,Real life short drama,,C93XdTK0VoN83ixsFj7cgcVgntf,5,prompt,"Please expand and refer to the latter part of video 1, the girl’s three wishes, what is the first wish?",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
12,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,1,prompt,Refer to the camera transition effect in Video 1 and replace the main body of the picture with Figure 1. The movement is smooth without any additional effects.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
13,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,2,prompt,"Replace the fruits in @Video 1 with the strawberries in Picture 1, replace the fruit slices in the reference video with strawberry slices, and replace the tea leaves with strawberries",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
14,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,3,prompt,"Referring to the city shuttle editing technique of Video 1 and using background music, generate a promotional video for Shenzhen, with the landmark buildings in Figures 1, 2, and 3 appearing and frozen.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
15,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,4,prompt,"Use the input male photo as a character reference, keep the character's front appearance, hairstyle, facial features proportions and clothing unchanged, and completely migrate and apply the special effects in Video 1 to the character. The appearance mode, dynamic rhythm, morphological changes and duration of the special effects strictly refer to Video 1, which naturally matches the character's movements and body position without blocking key facial features. The main body of the character remains stable, the special effects surround the character or are triggered from the character, and the picture is coherent and smooth, with no flicker, no misalignment, and no style deviation. The overall style is more realistic, highlighting the combined effect of ""characters + special effects"" to generate natural and credible special effects videos.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
16,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,5,prompt,Refer to the camera transition effect in Video 1 and replace the main body of the picture with Figure 1. The movement is smooth without any additional effects.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
17,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,6,prompt,"Refer to the camera movement and cross-dressing effects in the video, let the character in picture 1 cross-dress to the effect in picture 2, and generate a 15-second video",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
18,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,7,prompt,Refer to the fast camera movement method in the video to generate a 15-second video from Figure 1.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
19,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,8,prompt,"Refer to the camera movement method and background music in the video, and generate a 15-second video that follows the camera movement stuck points based on the 5 uploaded reference pictures.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
20,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,9,prompt,"Generate a 15-second movie-level short film ""traveling through five movie genre worlds"". The main subject is the same man running across the world. Each world takes about 2–2.5 seconds, and the pace gets tighter and tighter. Every time I switch, I use ""blocking and wiping the mirror"": the man's shoulders/clothes/foreground objects pass by the camera and fill the screen → the next world seamlessly connects to the same running posture.\nWorld 1 (noir): Alleyway on a rainy night, hard light cutting, strong contrast, ground reflection, thin layer of smoke.\nWorld 2 (ancient martial arts style): Moonlight in the bamboo forest, wind blowing clothes, cold weapons flashing, but no close-ups of specific weapons (to avoid overshadowing the scene), the camera still locks the face.\nWorld 3 (hard science fiction): long and narrow metal corridor, volumetric light and cold fog, pressure from the light port in the distance, and the camera zooms in slightly with breathing.\nWorld 4 (Western Highway): Dusty, backlit sun, heat wave air disturbance, and the clear sound of gravel on the ground.\nWorld 5 (war/disaster movie feel but not bloody): Strong wind and dust, distant firelight illuminates the outline, the camera returns to the front and close-up to freeze and finish.\nThe narration must be stronger and denser, but each sentence must be very short:\n0–2s (frontal super close shot) “It’s me.”\n2–4s “Get another one.”\n4–6s “Change again.”\n6–9s “Don’t blink.”\n9–12s “Still running.”\n12–15s (face locked) “I’m wearing it.”\nSound: Raindrops/Bamboo leaves and wind/Metal low-frequency buzzing/Dust whistling/Explosive wind low-frequency. There are short low-frequency ""bang"" and lens-wiping cloth sounds at the switching points. The picture must be intuitive, coherent, and cinematic, without game special effects.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
21,video parody,real fight,,KHK5d6ss0ob1CHx6KCacPQ0OnZg,1,prompt,"In the scene shown in Figure 5, character 1 changes into the style of character 2, with his clothes torn and separated into pieces, and the character is surrounded by blue speed lines"" and ""hand-drawn special effects""; character 3 changes into the style of character 4, floating in the flames, accompanied by anime-style ""speed lines"" and ""hand-drawn special effects.""\nIn the Japanese-style house background in Figure 5, Character 1 and Character 3 start a duel, accompanied by exciting background music. During this process, please maintain the consistency of the facial expressions of Character 1 and Character 3.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
22,video parody,real fight,,KHK5d6ss0ob1CHx6KCacPQ0OnZg,2,prompt,"In the reference picture, Character 1 and Character 2 are dueling. The movements refer to the movements in Video 1 and are accompanied by exciting background music. During this process, please maintain the consistency of the facial expressions of Character 1 and Character 3.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
23,video parody,dance imitation,,BVGlduPTdowxAexw75zcWHqInrf,1,prompt,Let the character in picture 1 copy the dance movements and stuck music in video 1 to generate a 13-second video with smooth movements and no lag.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
24,video parody,dance imitation,,BVGlduPTdowxAexw75zcWHqInrf,2,prompt,Refer to the dance moves in Video 1 and let all the cats in Picture 1 dance with the same dance moves.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
25,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,1,prompt,"Please generate a live delivery video based on the reference picture: The character in the 0-2s picture is sitting on the sofa, picking up the bag of potato chips with one hand, and gently stroking his sleeve with the other hand. His eyes changed from majestic to curious, and he said: ""My imperial kitchen, with slightly raised eyebrows, is hidden. Such a good thing!""; 2-5s He tore open the potato chip bag, picked up a piece of potato chip and sniffed it, with a look of surprise on his face, nodded slightly, and said: ""It's crispy, salty and delicious, and you'll be hooked in one bite!"" He put the chips in his mouth and chewed them, closed his eyes and enjoyed it. Then he looked up at the camera, raised his hand to indicate the potato chips, and said in a brisk tone: ""Following dramas to satisfy my craving is more satisfying than palace snacks!""; 8-10s He held the bag of potato chips facing the camera, and gestured with the recommendation hand with his other hand. With a smile on his face, he said with a friendly aura: ""Today's special offer, please place your order quickly!""; Requirements: Sound effect adaptation: with the crisp sound of potato chips being ripped open and chewed, and at the end with a brisk ancient-style delivery prompt sound to enhance the atmosphere and memory points. Oral broadcasting rhythm: The speaking speed is slightly slower, fitting the original intonation of Shiro in The Legend of Zhen Huan, with its own ancient accent. Each sentence is connected smoothly, and it is guaranteed to be read completely in 10 seconds.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
26,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,2,prompt,"The reference picture is disassembled, the camera remains still, the burger suspended in the air begins to rotate, the ingredients are separated gently and accurately, maintaining the shape and proportion, the movement is smooth, without any additional effects, the burger is separated to both sides, including the golden sesame bun on the top The top, the bright green lettuce leaves underneath, the beady slices of fresh red tomatoes, the two thick, juicy layers of grilled beef patty sandwiched with melted golden cheddar cheese, and the fluffy bun base at the very bottom, all fall slowly and perfectly together into a complete deluxe double cheeseburger. During this process, the cheese continues to melt slightly and slowly drips, and the water droplets on the lettuce and tomatoes are crystal clear, maintaining the extremely attractive gourmet beauty.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
27,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,3,prompt,"Image generation:\nPlease copy the white background product photo in Figure 1 to the composition and background light and shadow of the 3D product image in the second reference image to generate a new 3D product display image of Coca-Cola's canned beverages. Keep the can packaging details unchanged, peach elements, pink background, 3D rendering, no oranges, and no text on the poster.\nComplete video prompt: The Coca-Cola drink in Figure 1, after rotating 2 times at 360 degrees at high speed, suddenly stops and accumulates power and splits into three parts for display. Then the upper, middle and lower parts of the decomposed Coca-Cola beverage can were quickly rotated inward to synthesize a complete can of Coca-Cola beverage, 3D rendering product display special effects, dynamic product special effects display",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
28,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,4,prompt,"Please create a marketing video for beauty products and fragrances based on the editing style of the video clips I provided. Replace the beauty product perfume in the video with the one I provided, and modify the video content description and subtitle effects to highlight the introduction of the beauty product perfume.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
29,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,5,prompt,"Please create a promotional and marketing video for beverage products based on the editing style of the video clips I provided. Replace the beverage products in the video with those provided by me, and modify the video content description and subtitle effects to highlight the product introduction of the beverage.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
30,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,6,prompt,"Referring to the style and plot of the video, generate a 15-second commercial that recommends the product in Figure 1, focusing on the product introduction of white running shoes. It does not need to be similar to the plot of Reference Video 1. Maintain the consistency of the product in Image 1, with Image 1 as the main body.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
31,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,7,prompt,Refer to the camera movement method and background music in the video to generate a 15-second video that follows the camera movement and stuck points.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
32,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,8,prompt,"Let the LV bag in the picture have the same effect as in the reference video 1. Refer to the camera movements, scenes, and songs of the video to generate a 15-second video.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
33,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,9,prompt,Refer to the camera movement method and background music in the video to generate a 15-second video of the product in Picture 1 following the camera movement stuck point.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
34,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,10,prompt,"Referring to the video style and plot of Video 1, generate a 15-second commercial for the orange juice product in Figure 1, showing various angles of the orange, mainly reflecting the texture of the orange, and then showing the effect of cutting the orange into pieces, bottling and decoration of the juice, and finally showing the final effect of the orange juice.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
35,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,11,prompt,"Replace the main body of reference video 1 with reference picture 1, and use the form of reference picture 2 to explode and dissect the product, maintaining the shape and proportions, making the picture coherent and smooth, with no flickering, no misalignment, and no style deviation. The overall style is more realistic, highlighting the combined effect of ""product + explosion anatomy special effects"" to generate a natural and credible product display special effects video.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
36,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,12,prompt,"Imitate the marketing video effect and camera transition effect of reference video 1, replace the main body of bricks in reference video 1 with the orange Apple 17pro in reference picture 1 as the main body, and create a similar promotional and marketing video for mobile phone products to highlight the digital product introduction and texture. The product needs to be displayed from multiple angles. The character is holding the Apple 17pro in his hand, showing the camera of the phone, the front, the side, etc. At the same time, it is necessary to add some product sweeping light and shadow effects to maintain the consistency of the orange Apple 17pro product and create a professional product video for mobile phone advertising and marketing.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
37,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,13,prompt,"Please make a promotional and marketing video for [RIO Qiang Shuang] based on the editing style of the video clips I provided. Replace the Coca-Cola drink in video 1 with the picture 1 [RIO strong refreshment] I provided, and modify the video content description and subtitle effect to highlight the introduction of [RIO strong refreshment], and use the Chinese product introduction.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
38,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,14,prompt,"Core requirements: First-person immersive hand-made experience, with a tight 8-second rhythm, highlighting the freshness, hand-made layering, and refreshing healing appearance of the Seedance brand ""Youjian Lemon White"" grapefruit and lemon gradient fruit drink. It is suitable for Douyin/Video account information flow. The picture is bright and transparent with memory points. The whole first-person perspective composition, fresh and soft light and shadow, highly saturated and transparent colors, highlighting the pink and white gradient visual selling point\n8 seconds first-person perspective fruit tea advertisement, Seedance brand ""Yu Jian Lemon White"" grapefruit lemon gradient fruit drink limited edition, fresh and transparent texture, soft natural light, no excessive grinding, suitable for Douyin/video account information flow, the screen focuses on hand movements and drink layering details; 0-2 seconds: first person close-up, your hand pinches a red heart and freshly cuts the grapefruit in half, the crisp sound of the knife cutting the grapefruit + The sound of pulp juice splashing, the background is a blurry and fresh scene of scattered lime slices/mint leaves, the soft sound of fingers squeezing lemon slices against the wall of the glass, the background sound (bright): ""Fresh cut and freshly squeezed""; 2-4 seconds: Quick cut lens click, your hand slowly pours grapefruit juice along the back of the spoon into a glass full of transparent ice cubes, and then pours refrigerated fresh milk along the back of the spoon, the pink-white gradient instantly forms the sound of silky liquid + The sound of ice cubes lightly hitting the wall of the cup, a brisk drum beat, background sound (highlight): ""pink-white gradient""; 4-6 seconds: first-person close-up of the finished product, the camera zooms in to capture the layered texture of the cup body, your hands pinch mint leaves + lemon slices and insert them into the top decoration of the cup, gently placing the rustling sound of the decoration, background music mixed with clear piano music, background sound (gentle): ""ice and freshness""; 6-8 Seconds: First-person hand-held toast, holding the gradient fruit drink in front of the camera (simulating a face-to-face perspective of handing it to the audience). The pink seedance label on the cup is clearly visible. You smile and say, ""Take a refreshing sip!"". The Seedance brand logo freezes for the last 0.5 seconds. The drumbeat beats the ending, and a white subtitle pops up at the bottom of the screen: ""Seedance Limited New Release.""\nDetailed optimization highlights of adapting ingredients/steps",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
